row_id,row_hash,shard_month,collected_date_jst,collected_at_jst,normalized_at_jst,source,source_phase,collector_stage,canonical_property_name,source_property_name,property_identity_match,source_property_id,source_slug_or_code,checkin,checkout,stay_nights,group_adults,no_rooms,group_children,currency,language,stay_scope,availability_status,sold_out_status,normalized_total_price,normalized_total_price_source,normalized_total_price_basis,normalized_total_price_confidence,basis_confidence,basis_note,source_primary_price,source_secondary_price_or_adder,source_computed_total,source_tax_or_fee_classification,source_classification,is_price_usable_for_dp_direct,is_price_usable_for_dp_directional,is_price_excluded_from_dp,dp_exclusion_reason,warning_flags,source_report_path,source_csv_path,debug_artifact_path,schema_version
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-01|2026-07-02|2_adults_1_room_1_night,c484c37414460da068a0938b0e68eea56c99d44818bac67aa8e75577c86b50c2,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-01,2026-07-02,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,64790,rakuten_dayList_price_times_2,per_person_tax_included_unconfirmed_total_times_2,B,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,32395,,64790,per_person_tax_included_unconfirmed_total,rakuten_day_available_price_link,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260601,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-02|2026-07-03|2_adults_1_room_1_night,5aa112ac8aa573c4a86ecd8f10f4ef16434df404e9814093778cbd0a11329566,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-02,2026-07-03,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260601,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-03|2026-07-04|2_adults_1_room_1_night,75d7919b07b8db5e21d9896d1f82aac70c2e20f7df07fe73c2978bb2bebc71c0,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-03,2026-07-04,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,64790,rakuten_dayList_price_times_2,per_person_tax_included_unconfirmed_total_times_2,B,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,32395,,64790,per_person_tax_included_unconfirmed_total,rakuten_day_available_price_link,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260601,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-04|2026-07-05|2_adults_1_room_1_night,e77441999b49d9262fb558aae7df193b12e81734b0b86b8d14f677fcde483b62,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-04,2026-07-05,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260601,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-05|2026-07-06|2_adults_1_room_1_night,3c98e5bcb44ea7fa476b577eb21d4af91c1c979f58bba26203e7af83f43dc691,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-05,2026-07-06,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,64790,rakuten_dayList_price_times_2,per_person_tax_included_unconfirmed_total_times_2,B,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,32395,,64790,per_person_tax_included_unconfirmed_total,rakuten_day_available_price_link,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-06|2026-07-07|2_adults_1_room_1_night,e6e59cd104f9da1fc236be3ffeb0d7553f6415b8814ee9eed907b4d1c4b05fcd,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-06,2026-07-07,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,64790,rakuten_dayList_price_times_2,per_person_tax_included_unconfirmed_total_times_2,B,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,32395,,64790,per_person_tax_included_unconfirmed_total,rakuten_day_available_price_link,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-07|2026-07-08|2_adults_1_room_1_night,6a3fc84aa28e45d31fc1437930f7213799219fea7513562dd25c1af76fa3af66,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-07,2026-07-08,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,64790,rakuten_dayList_price_times_2,per_person_tax_included_unconfirmed_total_times_2,B,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,32395,,64790,per_person_tax_included_unconfirmed_total,rakuten_day_available_price_link,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-08|2026-07-09|2_adults_1_room_1_night,2e2fd4716c1851eb805727d54ae917c8ced46068e55f47c590aec6b1df8d0c8b,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-08,2026-07-09,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-09|2026-07-10|2_adults_1_room_1_night,8f75a5e476f345cca66430a909d6600bffe67ae450b3bf15a4d5407a5c4a616e,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-09,2026-07-10,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,64790,rakuten_dayList_price_times_2,per_person_tax_included_unconfirmed_total_times_2,B,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,32395,,64790,per_person_tax_included_unconfirmed_total,rakuten_day_available_price_link,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-10|2026-07-11|2_adults_1_room_1_night,161a21b9dda75c43afa25f4324ad5b599e0f935eb4599702fcc6dcf7779d4db8,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-10,2026-07-11,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-11|2026-07-12|2_adults_1_room_1_night,cedc23e03a6644938dc15b019cbbc30745682631e6c5442892be164e98bc7da6,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-11,2026-07-12,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-12|2026-07-13|2_adults_1_room_1_night,b649948a7b2bb84b39f90f29051cbb87e8912548b2580434d936780434a9d187,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-12,2026-07-13,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,64790,rakuten_dayList_price_times_2,per_person_tax_included_unconfirmed_total_times_2,B,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,32395,,64790,per_person_tax_included_unconfirmed_total,rakuten_day_available_price_link,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-13|2026-07-14|2_adults_1_room_1_night,2c50283d47e09d6f8c5d93edcd5b9e1b34b0f7fe00170f36bf01d22afa582795,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-13,2026-07-14,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-14|2026-07-15|2_adults_1_room_1_night,28f807d6d7ff151806511225250fdf6b21f1bc428366e1cc6606766b1079780a,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-14,2026-07-15,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-15|2026-07-16|2_adults_1_room_1_night,4616bef9c31ef345b72e52bab731e1c6c7e23e5866f0a609c2dfb19fc8b96186,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-15,2026-07-16,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-16|2026-07-17|2_adults_1_room_1_night,b0d4ebe1b8891262be8c695bf56d5071a4e6aecdc85b599cbab1409c1e8cb4ae,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-16,2026-07-17,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-17|2026-07-18|2_adults_1_room_1_night,1b66917fd612b2f99b6e6fab67b29a5c501a166eff657ba3233dc3e4aaca8e4d,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-17,2026-07-18,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,64790,rakuten_dayList_price_times_2,per_person_tax_included_unconfirmed_total_times_2,B,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,32395,,64790,per_person_tax_included_unconfirmed_total,rakuten_day_available_price_link,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-18|2026-07-19|2_adults_1_room_1_night,fa60be1ef7134c9028e8d28d165fbf18266d34ae5236df244adf057b66c9d16f,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-18,2026-07-19,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-19|2026-07-20|2_adults_1_room_1_night,7a990d0bdee35db14219756d69845a09d300150400bd9f36eb917c8f4274d64b,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-19,2026-07-20,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-20|2026-07-21|2_adults_1_room_1_night,1e377e2e9e250256248275ffc0d57ff85df4d71dc6665fe51975494c5b3fdea7,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-20,2026-07-21,1,2,1,0,JPY,ja,2_adults_1_room_1_night,available,available,64790,rakuten_dayList_price_times_2,per_person_tax_included_unconfirmed_total_times_2,B,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,32395,,64790,per_person_tax_included_unconfirmed_total,rakuten_day_available_price_link,false,true,false,,,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-21|2026-07-22|2_adults_1_room_1_night,a38aedf54f049361ef0de7b22a2a01b7895f5b73c00fcba213e304556005524b,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-21,2026-07-22,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
2026-06-01|rakuten|蔵王国際ホテル|5723|2026-07-22|2026-07-23|2_adults_1_room_1_night,00ef1adcf6967c2c46835ea0f476de2f8e00e3e686ca97947b74f2b2e3e53fc4,2026_07,2026-06-01,2026-06-01T20:58:30+09:00,2026-06-01T20:58:30+09:00,rakuten,Phase66X,prototype_read_only,蔵王国際ホテル,蔵王国際ホテル,true,5723,5723,2026-07-22,2026-07-23,1,2,1,0,JPY,ja,2_adults_1_room_1_night,sold_out,sold_out,,,no_price_sold_out,none,B,isTaxExclusive=false and CHARGE_PER_HUMAN confirmed; final 2-adult total page not visible without reservation-adjacent transition,,,,per_person_tax_included_unconfirmed_total,rakuten_day_full,false,true,false,,sold_out_pressure_signal,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.md,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/reports/source-discovery/rakuten_limited_collector_prototype_20260601_205830.csv,/Users/ginisato/Documents/Codex/2026-05-28/new-task/zao-market-intelligence/.data/debug/rakuten-limited-collector-prototype/20260601_205830/5723_00_20260701,zao_local_history_v1
